sample_id,sample_id_old,qpcr_sample_id,collect_site,frog_id,site,species,sample_status,extract_plate_id,extract_date,extract_lab,extract_tech,extract_loc,extract_well_pos,extract_neg_cont,extract_bd_pos_cont,qpcr_plate_id,qpcr_date,qpcr_file_name,qpcr_lab,qpcr_tech,qpcr_well_pos,qpcr_diluted,qpcr_neg_cont,sample_quality,sample_ipc,sample_rerun,sample_bd,sample_bd_ct,sample_bd_qty,sample_bd_swab_qty,sample_bsal,sample_bsal_ct,sample_bsal_qty,sample_bsal_swab_qty,notes,temp_pcr_id
171006-42-NM-NM,171006-2142-NM,171006 214.2,NV,171006-2142,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C4,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C4,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4416
171006-43-NM-NM,171006-2043-NM,171006 204.3,NV,171006-2043,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E9,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E9,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4418
171006-43-NM-NM,171006-2143-NM,171006 214.3,NV,171006-2143,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C5,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C5,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4418
171006-44-NM-NM,171006-2044-NM,171006 204.4,NV,171006-2044,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E10,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E10,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4419
171006-44-NM-NM,171006-2144-NM,171006 214.4,NV,171006-2144,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C6,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C6,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4419
171006-46-NM-NM,171006-2046-NM,171006 204.6,NV,171006-2046,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E11,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E11,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4421
171006-46-NM-NM,171006-2146-NM,171006 214.6,NV,171006-2146,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C8,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C8,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4421
171006-50-NM-NM,171006-2050-NM,171006 205.0,NV,171006-2050,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F1,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F1,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4423
171006-50-NM-NM,171006-2150-NM,171006 215.0,NV,171006-2150,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C9,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C9,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4423
171006-51-NM-NM,171006-2051-NM,171006 205.1,NV,171006-2051,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F2,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F2,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4424
